Year,GEO,Gender (3a),Economic family characteristics of persons (13),Age (8),Individual MBM poverty status (7),Value
2020,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),7.3
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,3090.0
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),34.8
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,In poverty,40.0
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),100.0
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,In poverty,40.0
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),100.0
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,In poverty,990.0
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),85.7
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,990.0
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),39.1
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,565.0
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),37.5
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,500.0
2015,Peterborough,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),13.7
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,340.0
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),3.7
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,60.0
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),3.7
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,25.0
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),4.6
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,30.0
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),2.8
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,35.0
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),6.9
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,95.0
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),3.4
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,110.0
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),6.7
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,45.0
2020,Selwyn,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),1.7
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,720.0
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),8.7
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,215.0
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),14.8
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,95.0
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),20.7
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,125.0
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),12.6
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,75.0
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),10.9
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,205.0
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),7.9
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,140.0
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),9.0
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,90.0
2015,Selwyn,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),4.4
2020,Selwyn,Men+,Total - Persons in economic families,Total - Age,In poverty,165.0
2020,Selwyn,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),2.0
2020,Selwyn,Men+,Total - Persons in economic families,0 to 17 years,In poverty,50.0
2020,Selwyn,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),3.1
2020,Selwyn,Men+,Total - Persons in economic families,0 to 5 years,In poverty,25.0
2020,Selwyn,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),4.6
2020,Selwyn,Men+,Total - Persons in economic families,6 to 17 years,In poverty,25.0
2020,Selwyn,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),2.4
2020,Selwyn,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Selwyn,Men+,Total - Persons in economic families,25 to 54 years,In poverty,45.0
2020,Selwyn,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),1.8
2020,Selwyn,Men+,Total - Persons in economic families,55 to 64 years,In poverty,50.0
2020,Selwyn,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),3.5
2020,Selwyn,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,Selwyn,Men+,Total - Persons in economic families,Total - Age,In poverty,500.0
2015,Selwyn,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),6.7
2015,Selwyn,Men+,Total - Persons in economic families,0 to 17 years,In poverty,215.0
2015,Selwyn,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),14.8
2015,Selwyn,Men+,Total - Persons in economic families,0 to 5 years,In poverty,95.0
2015,Selwyn,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),20.7
2015,Selwyn,Men+,Total - Persons in economic families,6 to 17 years,In poverty,125.0
2015,Selwyn,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),12.6
2015,Selwyn,Men+,Total - Persons in economic families,18 to 24 years,In poverty,40.0
2015,Selwyn,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),6.3
2015,Selwyn,Men+,Total - Persons in economic families,25 to 54 years,In poverty,125.0
2015,Selwyn,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),5.4
2015,Selwyn,Men+,Total - Persons in economic families,55 to 64 years,In poverty,75.0
2015,Selwyn,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),5.6
2015,Selwyn,Men+,Total - Persons in economic families,65 years and over,In poverty,40.0
2015,Selwyn,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),2.3
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,175.0
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),17.9
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,50.0
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),17.5
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,65.0
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),35.1
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,35.0
2020,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),7.5
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,220.0
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),25.9
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,In poverty,30.0
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),75.0
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,80.0
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),29.1
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,65.0
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),29.5
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,45.0
2015,Selwyn,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),14.5
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,310.0
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),3.3
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,70.0
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),4.5
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,60.0
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),5.3
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,105.0
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),3.8
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,60.0
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),3.4
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,55.0
2020,Selwyn,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),2.1
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,760.0
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),8.9
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,160.0
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),11.0
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,55.0
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),13.6
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,105.0
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),10.1
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,50.0
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),8.5
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,245.0
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),8.9
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,195.0
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),11.2
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,105.0
2015,Selwyn,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),5.1
2020,Selwyn,Women+,Total - Persons in economic families,Total - Age,In poverty,175.0
2020,Selwyn,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),2.1
2020,Selwyn,Women+,Total - Persons in economic families,0 to 17 years,In poverty,60.0
2020,Selwyn,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),3.9
2020,Selwyn,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Selwyn,Women+,Total - Persons in economic families,6 to 17 years,In poverty,50.0
2020,Selwyn,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),4.4
2020,Selwyn,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Selwyn,Women+,Total - Persons in economic families,25 to 54 years,In poverty,70.0
2020,Selwyn,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),2.7
2020,Selwyn,Women+,Total - Persons in economic families,55 to 64 years,In poverty,30.0
2020,Selwyn,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),1.9
2020,Selwyn,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,Selwyn,Women+,Total - Persons in economic families,Total - Age,In poverty,475.0
2015,Selwyn,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),6.2
2015,Selwyn,Women+,Total - Persons in economic families,0 to 17 years,In poverty,160.0
2015,Selwyn,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),11.0
2015,Selwyn,Women+,Total - Persons in economic families,0 to 5 years,In poverty,55.0
2015,Selwyn,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),13.6
2015,Selwyn,Women+,Total - Persons in economic families,6 to 17 years,In poverty,105.0
2015,Selwyn,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),10.1
2015,Selwyn,Women+,Total - Persons in economic families,18 to 24 years,In poverty,20.0
2015,Selwyn,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),3.6
2015,Selwyn,Women+,Total - Persons in economic families,25 to 54 years,In poverty,170.0
2015,Selwyn,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),6.6
2015,Selwyn,Women+,Total - Persons in economic families,55 to 64 years,In poverty,95.0
2015,Selwyn,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),6.3
2015,Selwyn,Women+,Total - Persons in economic families,65 years and over,In poverty,30.0
2015,Selwyn,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),2.0
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,140.0
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),12.1
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,40.0
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),17.4
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,40.0
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),22.9
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,40.0
2020,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),5.6
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,285.0
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),29.4
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,In poverty,25.0
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),62.5
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,85.0
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),45.9
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,95.0
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),42.2
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,75.0
2015,Selwyn,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),14.2
2020,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0.0
2020,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),0.0
2015,Curve Lake First Nation 35,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
