Year,Gender (3a),Economic family characteristics of persons (13),Unnamed: 3,Age (8),Individual MBM poverty status (7),Value
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),31.9
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,10905.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,10905.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,1390.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,9515.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),12.7
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),29.8
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,18645.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,18645.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,660.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,17980.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),3.5
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),22.3
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,78530.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,78530.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,14340.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,64185.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),18.3
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),32.7
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,14120.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,14120.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,3050.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,11070.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),21.6
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),26.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,4900.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,4900.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,1240.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,3660.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),25.3
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),24.7
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,9220.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,9220.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,1810.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,7405.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),19.6
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),26.9
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,8045.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,8045.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,2990.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,5060.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),37.2
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),47.5
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,29140.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,29140.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,5485.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,23655.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),18.8
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),31.8
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,11020.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,11020.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,1750.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,9270.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),15.9
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),31.1
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,16205.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,16205.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,1070.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,15135.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),6.6
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),17.9
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,38740.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,38740.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,3920.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,34820.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),10.1
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),34.2
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,7340.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,7340.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,575.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,6765.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),7.8
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),26.9
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,2245.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,2245.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,185.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,2065.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),8.2
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),27.6
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,5100.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,5100.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,390.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,4705.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),7.6
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),26.6
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,3820.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,3820.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,895.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,2925.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),23.4
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),40.9
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,14585.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,14585.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,1525.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,13060.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),10.5
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),35.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,4890.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,4890.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,665.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,4230.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),13.6
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),33.3
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,8105.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,8105.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,260.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,7845.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),3.2
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),24.2
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,37290.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,37290.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,6785.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,30505.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),18.2
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),35.6
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,7110.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,7110.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,1480.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,5630.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),20.8
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),26.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,2510.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,2510.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,620.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,1895.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),24.7
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),26.3
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,4600.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,4600.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,860.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,3735.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),18.7
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),25.9
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,3940.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,3940.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,1420.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,2520.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),36.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),49.8
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,14135.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,14135.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,2645.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,11490.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),18.7
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),35.7
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,5080.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,5080.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,835.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,4245.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),16.4
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),34.7
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,7025.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,7025.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,405.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,6625.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),5.8
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),22.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,42860.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,42860.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,4065.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,38795.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),9.5
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),30.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,6985.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,6985.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,595.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,6390.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),8.5
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),27.9
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,2160.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,2160.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,200.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,1950.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),9.3
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),19.4
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,4830.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,4830.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,390.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,4440.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),8.1
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),32.4
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,3880.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,3880.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,1055.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,2830.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),27.2
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),39.3
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,15445.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,15445.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,1295.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,14150.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),8.4
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),28.2
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,6005.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,6005.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,720.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,5285.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),12.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),26.6
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,10535.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,10535.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,400.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,10135.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),3.8
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),21.1
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,41240.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,41240.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,7555.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,33685.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),18.3
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),30.1
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,7010.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,7010.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,1570.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,5440.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),22.4
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),26.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,2390.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,2390.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,620.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,1770.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),25.9
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),23.1
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,4620.0
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,4620.0
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,950.0
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,3670.0
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),20.6
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),27.9
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,4105.0
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,4105.0
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,1570.0
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,2540.0
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),38.2
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),45.5
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,15005.0
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,15005.0
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,2835.0
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,12165.0
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),18.9
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),28.1
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,5940.0
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,5940.0
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,915.0
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,5030.0
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),15.4
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),27.8
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,9175.0
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,9175.0
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,665.0
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,8510.0
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),7.2
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),15.4
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,18460.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,18460.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,650.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,17805.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),3.5
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),29.6
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,3165.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,3165.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,130.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,3040.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),4.1
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),38.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,960.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,960.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,35.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,925.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),3.6
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),40.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,2210.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,2210.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,90.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,2115.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),4.1
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),36.5
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,1110.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,1110.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,50.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,1060.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),4.5
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),36.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,5620.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,5620.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,200.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,5420.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),3.6
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),29.4
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,3400.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,3400.0
